Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Trụ sở hành chính 1	Địa chỉ trụ sở hành chính 1	Full Address 1	Latitude 1	Longitude 1	Trụ sở hành chính 2	Địa chỉ trụ sở hành chính 2	Full Address 2	Latitude 2	Longitude 2	Ghi chú trụ sở
Bình Quới	35	Phường	46200	6.34	7287.07	Phường 27 (Quận Bình Thạnh), Phường 28 (Quận Bình Thạnh)		phường Thạnh Mỹ Tây, phường Bình Thạnh, phường Hiệp Bình, phường Thủ Đức, phường An Khánh	UBND phường 27	số 1 khu hành chính Thanh Đa, phường 27, quận Bình Thạnh	UBND phường 27 số 1 khu hành chính Thanh Đa, phường 27, quận Bình Thạnh 	10.8155324	106.7205799			  			
Bình Tân	36	Phường	161851	11.25	14386.76	Phường Bình Hưng Hoà B (Quận Bình Tân)	Phường Bình Trị Đông A (Quận Bình Tân), Phường Tân Tạo (Quận Bình Tân)	phường Tân Tạo, phường Bình Hưng Hoà, phường Bình Trị Đông, xã Vĩnh Lộc, xã Tân Vĩnh Lộc, xã Bình Lợi và xã Bà Điểm	UBND phường Bình Hưng Hoà B	số 43 đường số 16, phường Bình Hưng Hòa B, quận Bình Tân	UBND phường Bình Hưng Hoà B số 43 đường số 16, phường Bình Hưng Hòa B, quận Bình Tân 	10.8132084	106.5938285			  			
Bình Tây	37	Phường	63293	1.05	60279.05	Phường 2 (Quận 6), Phường 9 (Quận 6)		phường Bình Tiên, phường Bình Phú, phường Phú Lâm, phường Chợ Lớn, phường Minh Phụng	UBND phường 2	số 154 Tháp Mười, phường 2, quận 6	UBND phường 2 số 154 Tháp Mười, phường 2, quận 6 	10.750568	106.653062			  			
Bình Thạnh	38	Phường	126300	3.32	38042.17	Phường 12 (Quận Bình Thạnh), Phường 14 (Quận Bình Thạnh), Phường 26 (Quận Bình Thạnh)		phường Gia Định, phường Bình Lợi Trung, phường Thạnh Mỹ Tây, phường Bình Quới	UBND quận Bình Thạnh	số 6 - 6A Phan Đăng Lưu, phường 14, quận Bình Thạnh	UBND quận Bình Thạnh số 6 - 6A Phan Đăng Lưu, phường 14, quận Bình Thạnh 	10.8028235	106.6962029			  			
Bình Thới	39	Phường	76478	1.52	50314.47	Phường 3 (Quận 11), Phường 10 (Quận 11)	Phường 8 (Quận 11)	phường Minh Phụng, phường Phú Thọ, phường Hoà Bình, phường Phú Lâm, phường Tân Phú	UBND quận 11	số 268 - 270 Bình Thới, phường 10, quận 11	UBND quận 11 số 268 - 270 Bình Thới, phường 10, quận 11 	10.763878	106.6435955			  			
Bình Tiên	40	Phường	91520	1.61	56844.72	Phường 1 (Quận 6), Phường 7 (Quận 6), Phường 8 (Quận 6)		phường Bình Tây, phường Phú Định, phường Bình Phú, phường Chợ Lớn	UBND quận 6	số 107 Cao Văn Lầu, phường 1, quận 6	UBND quận 6 số 107 Cao Văn Lầu, phường 1, quận 6 	10.7466025	106.6491769			  			
Bình Trị Đông	41	Phường	165142	7.15	23096.78	Phường Bình Trị Đông (Quận Bình Tân)	Phường Bình Trị Đông A (Quận Bình Tân), Phường Bình Hưng Hoà A (Quận Bình Tân)	phường Bình Tân, phường Bình Hưng Hoà, phường An Lạc, phường Tân Tạo, phường Phú Lâm và phường Phú Thạnh	UBND phường Bình Trị Đông A	số 162 Mã Lò, phường Bình Trị Đông A, quận Bình Tân	UBND phường Bình Trị Đông A số 162 Mã Lò, phường Bình Trị Đông A, quận Bình Tân 	10.7645522	106.6043003			  			
Bình Trưng	42	Phường	121382	14.82	8190.42	Phường Bình Trưng Đông (TP. Thủ Đức), Phường Bình Trưng Tây (TP. Thủ Đức)	Phường An Phú (TP. Thủ Đức)	phường Phước Long, phường Long Trường, phường An Khánh, phường Cát Lái và phường Tân Thuận	UBND phường Bình Trưng Đông	số 8 Hồ Thị Nhung, khu phố 4, phường Bình Trưng Đông, TP.Thủ Đức	UBND phường Bình Trưng Đông số 8 Hồ Thị Nhung, khu phố 4, phường Bình Trưng Đông, TP.Thủ Đức 	10.7892107	106.7719022			  			
Cần Giờ	43	Xã	27130	157.01	172.79	Xã Long Hoà (H. Cần Giờ), Thị trấn Cần Thạnh (H. Cần Giờ)		xã Bình Khánh, xã An Thới Đông, xã Thạnh An và Biển Đông	UBND huyện Cần Giờ	đường Lương Văn Nho, khu phố Giồng Ao, thị trấn Cần Thạnh, huyện Cần Giờ	UBND huyện Cần Giờ đường Lương Văn Nho, khu phố Giồng Ao, thị trấn Cần Thạnh, huyện Cần Giờ 	10.4112792	106.9547322			  			
Cát Lái	44	Phường	68654	19.65	3493.84	Phường Cát Lái (TP. Thủ Đức), Phường Thạnh Mỹ Lợi (TP. Thủ Đức)		phường Bình Trưng, phường Long Trường, phường Tân Thuận, phường Phú Thuận và tỉnh Đồng Nai	UBND phường Thạnh Mỹ Lợi	số 560 Trương Gia Mô, phường Thạnh Mỹ Lợi, TP.Thủ Đức	UBND phường Thạnh Mỹ Lợi số 560 Trương Gia Mô, phường Thạnh Mỹ Lợi, TP.Thủ Đức 	10.7706053	106.7704032			  			
